id_registro,valor_registro,data_registro,fk_modelo_componente
540,2419,"2023-10-10 13:08:04",1
541,0,"2023-10-10 13:08:04",1
542,2419,"2023-10-10 13:08:04",1
543,511.42,"2023-10-10 13:08:04",7
544,395.18,"2023-10-10 13:08:04",7
545,116.24,"2023-10-10 13:08:04",7
546,22.7,"2023-10-10 13:08:04",7
547,8.32022528,"2023-10-10 13:08:04",4
548,3.046387712,"2023-10-10 13:08:04",4
549,5.273837568,"2023-10-10 13:08:04",4
550,3.046387712,"2023-10-10 13:08:04",4
551,63.4,"2023-10-10 13:08:04",4
552,4,"2023-10-10 13:08:06",1
553,8,"2023-10-10 13:08:06",1
554,94376.953125,"2023-10-10 13:08:06",1
555,67273.765625,"2023-10-10 13:08:06",1
556,3997922.28125,"2023-10-10 13:08:06",1
557,1,"2023-10-10 13:08:06",1
558,0,"2023-10-10 13:08:06",1
559,2419,"2023-10-10 13:08:06",1
560,0,"2023-10-10 13:08:06",1
561,2419,"2023-10-10 13:08:06",1
562,511.42,"2023-10-10 13:08:06",7
563,395.18,"2023-10-10 13:08:06",7
564,116.24,"2023-10-10 13:08:06",7
565,22.7,"2023-10-10 13:08:06",7
566,8.32022528,"2023-10-10 13:08:07",4
567,3.048931328,"2023-10-10 13:08:07",4
568,5.271293952000001,"2023-10-10 13:08:07",4
569,3.048931328,"2023-10-10 13:08:07",4
570,63.4,"2023-10-10 13:08:07",4
571,4,"2023-10-10 13:08:11",1
572,8,"2023-10-10 13:08:11",1
573,94378.78125,"2023-10-10 13:08:11",1
574,67276.234375,"2023-10-10 13:08:11",1
575,3997959.234375,"2023-10-10 13:08:11",1
576,5,"2023-10-10 13:08:11",1
577,0,"2023-10-10 13:08:11",1
578,2419,"2023-10-10 13:08:11",1
579,0,"2023-10-10 13:08:11",1
580,2419,"2023-10-10 13:08:11",1
581,511.42,"2023-10-10 13:08:11",7
582,395.18,"2023-10-10 13:08:11",7
583,116.24,"2023-10-10 13:08:11",7
584,22.7,"2023-10-10 13:08:11",7
585,8.32022528,"2023-10-10 13:08:12",4
586,3.0190796800000004,"2023-10-10 13:08:12",4
587,5.3011456,"2023-10-10 13:08:12",4
588,3.0190796800000004,"2023-10-10 13:08:12",4
589,63.7,"2023-10-10 13:08:12",4
590,4,"2023-10-10 13:08:14",1
591,8,"2023-10-10 13:08:14",1
592,94379.296875,"2023-10-10 13:08:14",1
593,67276.8125,"2023-10-10 13:08:14",1
594,3997977.6875,"2023-10-10 13:08:14",1
595,2,"2023-10-10 13:08:14",1
596,0,"2023-10-10 13:08:14",1
597,2419,"2023-10-10 13:08:14",1
598,0,"2023-10-10 13:08:14",1
599,2419,"2023-10-10 13:08:14",1
600,511.42,"2023-10-10 13:08:14",7
601,395.18,"2023-10-10 13:08:14",7
602,116.24,"2023-10-10 13:08:14",7
603,22.7,"2023-10-10 13:08:14",7
604,8.32022528,"2023-10-10 13:08:14",4
605,3.0164500480000003,"2023-10-10 13:08:14",4
606,5.3037752320000005,"2023-10-10 13:08:14",4
607,3.0164500480000003,"2023-10-10 13:08:14",4
608,63.7,"2023-10-10 13:08:14",4
609,4,"2023-10-10 13:08:16",1
610,8,"2023-10-10 13:08:16",1
611,94381.78125,"2023-10-10 13:08:16",1
612,67278.65625,"2023-10-10 13:08:16",1
613,3997992.3125,"2023-10-10 13:08:16",1
614,11,"2023-10-10 13:08:16",1
615,0,"2023-10-10 13:08:16",1
616,2419,"2023-10-10 13:08:16",1
617,0,"2023-10-10 13:08:16",1
618,2419,"2023-10-10 13:08:16",1
619,511.42,"2023-10-10 13:08:16",7
620,395.18,"2023-10-10 13:08:16",7
621,116.24,"2023-10-10 13:08:16",7
622,22.7,"2023-10-10 13:08:16",7
623,8.32022528,"2023-10-10 13:08:17",4
624,3.020783616,"2023-10-10 13:08:17",4
625,5.299441664000001,"2023-10-10 13:08:17",4
626,3.020783616,"2023-10-10 13:08:17",4
627,63.7,"2023-10-10 13:08:17",4
628,4,"2023-10-10 13:08:19",1
629,8,"2023-10-10 13:08:19",1
630,94382.5625,"2023-10-10 13:08:19",1
631,67279.734375,"2023-10-10 13:08:19",1
632,3998009.328125,"2023-10-10 13:08:19",1
633,3,"2023-10-10 13:08:19",1
634,0,"2023-10-10 13:08:19",1
635,2419,"2023-10-10 13:08:19",1
636,0,"2023-10-10 13:08:19",1
637,2419,"2023-10-10 13:08:19",1
638,511.42,"2023-10-10 13:08:19",7
639,395.18,"2023-10-10 13:08:19",7
640,116.24,"2023-10-10 13:08:19",7
641,22.7,"2023-10-10 13:08:19",7
642,8.32022528,"2023-10-10 13:08:19",4
643,3.018743808,"2023-10-10 13:08:19",4
644,5.301481472000001,"2023-10-10 13:08:19",4
645,3.018743808,"2023-10-10 13:08:19",4
646,63.7,"2023-10-10 13:08:19",4
647,4,"2023-10-10 13:08:21",1
648,8,"2023-10-10 13:08:21",1
649,94383.203125,"2023-10-10 13:08:21",1
650,67281.296875,"2023-10-10 13:08:21",1
651,3998026.625,"2023-10-10 13:08:21",1
652,0,"2023-10-10 13:08:21",1
653,0,"2023-10-10 13:08:21",1
654,2419,"2023-10-10 13:08:21",1
655,0,"2023-10-10 13:08:21",1
656,2419,"2023-10-10 13:08:21",1
657,511.42,"2023-10-10 13:08:21",7
658,395.18,"2023-10-10 13:08:21",7
659,116.24,"2023-10-10 13:08:21",7
660,22.7,"2023-10-10 13:08:21",7
661,8.32022528,"2023-10-10 13:08:21",4
662,3.023659008,"2023-10-10 13:08:21",4
663,5.296566272000001,"2023-10-10 13:08:21",4
664,3.023659008,"2023-10-10 13:08:21",4
665,63.7,"2023-10-10 13:08:21",4
666,4,"2023-10-10 13:08:24",1
667,8,"2023-10-10 13:08:24",1
668,94383.9375,"2023-10-10 13:08:24",1
669,67283.25,"2023-10-10 13:08:24",1
670,3998043.6875,"2023-10-10 13:08:24",1
671,2,"2023-10-10 13:08:24",1
672,0,"2023-10-10 13:08:24",1
673,2419,"2023-10-10 13:08:24",1
674,0,"2023-10-10 13:08:24",1
675,2419,"2023-10-10 13:08:24",1
676,511.42,"2023-10-10 13:08:24",7
677,395.18,"2023-10-10 13:08:24",7
678,116.24,"2023-10-10 13:08:24",7
679,22.7,"2023-10-10 13:08:24",7
680,8.32022528,"2023-10-10 13:08:24",4
681,3.0256701440000002,"2023-10-10 13:08:24",4
682,5.2945551360000005,"2023-10-10 13:08:24",4
683,3.0256701440000002,"2023-10-10 13:08:24",4
684,63.6,"2023-10-10 13:08:24",4
685,4,"2023-10-10 13:08:26",1
686,8,"2023-10-10 13:08:26",1
687,94384.53125,"2023-10-10 13:08:26",1
688,67284.421875,"2023-10-10 13:08:26",1
689,3998060.671875,"2023-10-10 13:08:26",1
690,3,"2023-10-10 13:08:26",1
691,0,"2023-10-10 13:08:26",1
692,1411,"2023-10-10 13:08:26",1
693,0,"2023-10-10 13:08:26",1
694,2419,"2023-10-10 13:08:26",1
695,511.42,"2023-10-10 13:08:26",7
696,395.18,"2023-10-10 13:08:26",7
697,116.24,"2023-10-10 13:08:26",7
698,22.7,"2023-10-10 13:08:26",7
699,8.32022528,"2023-10-10 13:08:26",4
700,3.029377024,"2023-10-10 13:08:26",4
701,5.290848256,"2023-10-10 13:08:26",4
702,3.029377024,"2023-10-10 13:08:26",4
703,63.6,"2023-10-10 13:08:26",4
704,4,"2023-10-10 13:08:28",1
705,8,"2023-10-10 13:08:28",1
706,94386,"2023-10-10 13:08:28",1
707,67285.765625,"2023-10-10 13:08:28",1
708,3998076.859375,"2023-10-10 13:08:28",1
709,7,"2023-10-10 13:08:28",1
710,0,"2023-10-10 13:08:28",1
711,2419,"2023-10-10 13:08:28",1
712,0,"2023-10-10 13:08:28",1
713,2419,"2023-10-10 13:08:28",1
714,511.42,"2023-10-10 13:08:28",7
715,395.18,"2023-10-10 13:08:28",7
716,116.24,"2023-10-10 13:08:28",7
717,22.7,"2023-10-10 13:08:28",7
718,8.32022528,"2023-10-10 13:08:28",4
719,3.021312,"2023-10-10 13:08:28",4
720,5.298913280000001,"2023-10-10 13:08:28",4
721,3.021312,"2023-10-10 13:08:28",4
722,63.7,"2023-10-10 13:08:28",4
723,4,"2023-10-10 13:08:31",1
724,8,"2023-10-10 13:08:31",1
725,94386.6875,"2023-10-10 13:08:31",1
726,67286.5625,"2023-10-10 13:08:31",1
727,3998093.875,"2023-10-10 13:08:31",1
728,2,"2023-10-10 13:08:31",1
729,0,"2023-10-10 13:08:31",1
730,2419,"2023-10-10 13:08:31",1
731,0,"2023-10-10 13:08:31",1
732,2419,"2023-10-10 13:08:31",1
733,511.42,"2023-10-10 13:08:31",7
734,395.18,"2023-10-10 13:08:31",7
735,116.24,"2023-10-10 13:08:31",7
736,22.7,"2023-10-10 13:08:31",7
737,8.32022528,"2023-10-10 13:08:31",4
738,3.0207672320000003,"2023-10-10 13:08:31",4
739,5.299458048,"2023-10-10 13:08:31",4
740,3.0207672320000003,"2023-10-10 13:08:31",4
741,63.7,"2023-10-10 13:08:31",4
742,4,"2023-10-10 13:08:33",1
743,8,"2023-10-10 13:08:33",1
744,94387.078125,"2023-10-10 13:08:33",1
745,67287.640625,"2023-10-10 13:08:33",1
746,3998111.53125,"2023-10-10 13:08:33",1
747,2,"2023-10-10 13:08:33",1
748,0,"2023-10-10 13:08:33",1
749,2419,"2023-10-10 13:08:33",1
750,0,"2023-10-10 13:08:33",1
751,2419,"2023-10-10 13:08:33",1
752,511.42,"2023-10-10 13:08:33",7
753,395.18,"2023-10-10 13:08:33",7
754,116.24,"2023-10-10 13:08:33",7
755,22.7,"2023-10-10 13:08:33",7
756,8.32022528,"2023-10-10 13:08:33",4
757,3.026477056,"2023-10-10 13:08:33",4
758,5.293748224000001,"2023-10-10 13:08:33",4
759,3.026477056,"2023-10-10 13:08:33",4
760,63.6,"2023-10-10 13:08:33",4
761,4,"2023-10-10 13:08:37",1
762,8,"2023-10-10 13:08:37",1
763,94388.15625,"2023-10-10 13:08:37",1
764,67288.765625,"2023-10-10 13:08:37",1
765,3998139.328125,"2023-10-10 13:08:37",1
766,2,"2023-10-10 13:08:37",1
767,0,"2023-10-10 13:08:37",1
768,2419,"2023-10-10 13:08:37",1
769,0,"2023-10-10 13:08:37",1
770,2419,"2023-10-10 13:08:37",1
771,511.42,"2023-10-10 13:08:37",7
772,395.18,"2023-10-10 13:08:37",7
773,116.24,"2023-10-10 13:08:37",7
774,22.7,"2023-10-10 13:08:37",7
775,8.32022528,"2023-10-10 13:08:37",4
776,3.042361344,"2023-10-10 13:08:37",4
777,5.277863936,"2023-10-10 13:08:37",4
778,3.042361344,"2023-10-10 13:08:37",4
779,63.4,"2023-10-10 13:08:37",4
780,4,"2023-10-10 13:08:39",1
781,8,"2023-10-10 13:08:39",1
782,94389,"2023-10-10 13:08:39",1
783,67289.46875,"2023-10-10 13:08:39",1
784,3998157.03125,"2023-10-10 13:08:39",1
785,4,"2023-10-10 13:08:39",1
786,0,"2023-10-10 13:08:39",1
787,2419,"2023-10-10 13:08:39",1
788,0,"2023-10-10 13:08:39",1
789,2419,"2023-10-10 13:08:39",1
790,511.42,"2023-10-10 13:08:39",7
791,395.18,"2023-10-10 13:08:39",7
792,116.24,"2023-10-10 13:08:39",7
793,22.7,"2023-10-10 13:08:39",7
794,8.32022528,"2023-10-10 13:08:39",4
795,3.121524736,"2023-10-10 13:08:39",4
796,5.198700544,"2023-10-10 13:08:39",4
797,3.121524736,"2023-10-10 13:08:39",4
798,62.5,"2023-10-10 13:08:39",4
799,4,"2023-10-10 13:08:41",1
800,8,"2023-10-10 13:08:41",1
801,94389.390625,"2023-10-10 13:08:41",1
802,67289.890625,"2023-10-10 13:08:41",1
803,3998174.84375,"2023-10-10 13:08:41",1
804,2,"2023-10-10 13:08:41",1
805,0,"2023-10-10 13:08:41",1
806,2419,"2023-10-10 13:08:41",1
807,0,"2023-10-10 13:08:41",1
808,2419,"2023-10-10 13:08:41",1
809,511.42,"2023-10-10 13:08:41",7
810,395.18,"2023-10-10 13:08:41",7
811,116.24,"2023-10-10 13:08:41",7
812,22.7,"2023-10-10 13:08:41",7
813,8.32022528,"2023-10-10 13:08:42",4
814,3.1209758720000003,"2023-10-10 13:08:42",4
815,5.199249408,"2023-10-10 13:08:42",4
816,3.1209758720000003,"2023-10-10 13:08:42",4
817,62.5,"2023-10-10 13:08:42",4
818,4,"2023-10-10 13:08:44",1
819,8,"2023-10-10 13:08:44",1
820,94389.890625,"2023-10-10 13:08:44",1
821,67290.45312500047,"2023-10-10 13:08:44",1
822,3998192.7812499995,"2023-10-10 13:08:44",1
823,2,"2023-10-10 13:08:44",1
824,0,"2023-10-10 13:08:44",1
825,2419,"2023-10-10 13:08:44",1
826,0,"2023-10-10 13:08:44",1
827,2419,"2023-10-10 13:08:44",1
828,511.42,"2023-10-10 13:08:44",7
829,395.18,"2023-10-10 13:08:44",7
830,116.24,"2023-10-10 13:08:44",7
831,22.7,"2023-10-10 13:08:44",7
832,8.32022528,"2023-10-10 13:08:44",4
833,3.125878784,"2023-10-10 13:08:44",4
834,5.1943464960000005,"2023-10-10 13:08:44",4
835,3.125878784,"2023-10-10 13:08:44",4
836,62.4,"2023-10-10 13:08:44",4
837,4,"2023-10-10 13:08:46",1
838,8,"2023-10-10 13:08:46",1
839,94390.25,"2023-10-10 13:08:46",1
840,67290.96875000047,"2023-10-10 13:08:46",1
841,3998210.7812499995,"2023-10-10 13:08:46",1
842,0,"2023-10-10 13:08:46",1
843,0,"2023-10-10 13:08:46",1
844,1411,"2023-10-10 13:08:46",1
845,0,"2023-10-10 13:08:46",1
846,2419,"2023-10-10 13:08:46",1
847,511.42,"2023-10-10 13:08:46",7
848,395.18,"2023-10-10 13:08:46",7
